"unit","genotype","g_alias","treatment","timestamp","Digital biomass [mm³]","greenness average","greenness bin0","greenness bin1","greenness bin2","greenness bin3","greenness bin4","greenness bin5","Height [mm]","Height Max [mm]","hue average [°]","hue bin0","hue bin1","hue bin2","hue bin3","hue bin4","hue bin5","Leaf angle [°]","Leaf area [mm²]","Leaf area index [mm²/mm²]","Leaf area (projected) [mm²]","Leaf inclination [mm²/mm²]","Light penetration depth [mm]","NDVI average","NDVI bin0","NDVI bin1","NDVI bin2","NDVI bin3","NDVI bin4","NDVI bin5","NPCI average","NPCI bin0","NPCI bin1","NPCI bin2","NPCI bin3","NPCI bin4","NPCI bin5","PSRI average","PSRI bin0","PSRI bin1","PSRI bin2","PSRI bin3","PSRI bin4","PSRI bin5"
"30:1:1","Raddish","Raddish","Control",2022-02-02 15:25:42,169463,-0.04585,0,0.00203,0.67176,0.32581,0.00039,0,12.336,44.322,21.4589,0.01968,0.79658,0.02657,0.00539,0.15178,0,42.001,13736.9,0.153,9197.87,1.4944,8.156,0.25883,0,0,0.03883,0.93433,0.02684,0,0.29835,0,0,0.01341,0.9225,0.06409,0,0.25958,0,0,0.01341,0.97942,0.00717,0
"30:1:1","Raddish","Raddish","Control",2022-02-04 12:51:09,162458,-0.03497,1e-05,0.00112,0.66945,0.32926,0.00016,0,11.832,48.272,23.7188,0.0146,0.83369,0.03884,0.00365,0.10923,0,41.783,13729.9,0.153,9155.65,1.50076,8.317,0.25829,0,0,0.03511,0.92363,0.04127,0,0.31719,0,0,0.00819,0.93358,0.05823,0,0.27719,0,1e-05,0.00819,0.98171,0.0101,0
"30:1:1","Raddish","Raddish","Control",2022-02-07 11:47:03,467929,-0.00438,5e-05,0.00271,0.57282,0.42418,0.00023,0,39.733,52.805,29.912,0.01728,0.73716,0.11527,0.00569,0.12459,0,42.773,11776.7,0.131,8003.1,1.47252,36.613,0.30659,0,0,0.02983,0.84646,0.12371,0,0.29264,0,0,0.0129,0.92939,0.05771,0,0.24478,0,0,0.0129,0.97327,0.01383,0
"30:1:1","Raddish","Raddish","Control",2022-02-09 13:38:51,562417,0.06366,1e-05,0.00088,0.45049,0.54858,4e-05,0,52.381,63.307,45.5698,0.0101,0.64516,0.26874,0.00466,0.07134,0,45.484,10737.1,0.119,7657.32,1.40239,49.184,0.38319,0,0,0.02047,0.67844,0.30109,0,0.27425,0,2e-05,0.01334,0.93211,0.05454,0,0.21134,0,2e-05,0.01333,0.97582,0.01082,0
"30:1:1","Raddish","Raddish","Control",2022-02-11 13:54:20,652023,0.09912,6e-05,0.00257,0.32278,0.67432,0.00027,0,47.471,58.089,59.0036,0.01216,0.55365,0.35614,0.00476,0.07328,0,46.826,13735.2,0.153,10014.9,1.37119,44.837,0.44127,0,0,0.01108,0.57624,0.41267,0,0.23522,0,1e-05,0.02414,0.92819,0.04766,0,0.16675,0,1e-05,0.02414,0.96886,0.00699,0
"30:1:1","Raddish","Raddish","Control",2022-02-14 13:33:43,923111,0.19566,1e-05,0.00115,0.12797,0.87026,0.00062,0,65.26,68.774,92.6145,0.00605,0.28429,0.66952,0.00654,0.0336,0,50.718,14145.2,0.157,10947.3,1.2919,60.814,0.5896,0,0,0.00483,0.22204,0.77313,0,0.14021,1e-05,3e-05,0.07952,0.89941,0.02103,0,0.0741,0,0,0.07956,0.91938,0.00105,0
"30:1:1","Raddish","Raddish","Control",2022-02-16 11:24:33,1191540,0.23468,3e-05,0.00046,0.0627,0.93634,0.00047,0,76.63,84.537,104.18,0.00285,0.14483,0.82432,0.00952,0.01847,0,52.011,15549.3,0.173,12227.5,1.2688,70.201,0.63727,0,0,0.00452,0.10434,0.89113,0,0.09489,1e-05,0.00018,0.11618,0.87781,0.00581,0,0.04296,0,0,0.11637,0.88321,0.00041,0
"30:1:1","Raddish","Raddish","Control",2022-02-21 11:44:04,1587290,0.24769,0,0.00173,0.04823,0.94994,1e-04,0,93.64,106.08,97.747,0.00054,0.21012,0.78427,0.00174,0.00334,0,49.397,16951.1,0.188,12861.9,1.31708,85.266,0.62753,0,0,0.00084,0.1388,0.86037,0,0.1401,0,0,0.03689,0.95491,0.0082,0,0.06403,0,0,0.03689,0.96284,0.00026,0
"30:1:1","Raddish","Raddish","Control",2022-02-22 08:25:52,1688670,0.2558,0,0.0021,0.03749,0.96024,0.00018,0,85.479,93.256,102.681,0.00165,0.12224,0.86343,0.0031,0.00958,0,53.489,19755.5,0.22,15859.7,1.24416,52.522,0.63179,0,0,0.00088,0.08388,0.91523,0,0.11776,0,0,0.03671,0.95333,0.00995,0,0.0494,0,0,0.03672,0.96275,0.00053,0
"30:1:1","Raddish","Raddish","Control",2022-02-23 13:38:00,1799930,0.27949,2e-05,0.00029,0.02916,0.96982,7e-04,0,85.05,96.492,102.777,0.00132,0.0912,0.89462,0.0047,0.00816,0,53.216,21163.1,0.235,16927.6,1.24857,36.348,0.64086,0,0,0.00057,0.06255,0.93688,0,0.13413,0,1e-04,0.03076,0.96112,0.00802,0,0.05165,0,0,0.03087,0.96859,0.00055,0
"30:1:1","Raddish","Raddish","Control",2022-02-24 08:18:30,1916460,0.30223,0,0.00011,0.01784,0.97962,0.00243,0,87.348,95.402,102.574,0.00082,0.06751,0.92309,0.00386,0.00472,0,54.614,21940.6,0.244,17823.1,1.22657,28.513,0.64468,0,0,7e-04,0.04971,0.94959,0,0.15171,0,9e-05,0.02218,0.97429,0.00344,0,0.05535,0,4e-05,0.02223,0.97752,0.00022,0
"30:1:1","Raddish","Raddish","Control",2022-02-25 13:22:23,2036780,0.30293,0,0.00025,0.02651,0.97097,0.00227,0,88.381,98.028,102.101,0.00114,0.08485,0.90099,0.00572,0.0073,0,50.251,23045.5,0.256,17690.5,1.30062,37.79,0.65836,0,0,0.00098,0.05491,0.9441,0,0.15377,2e-05,0.00023,0.03322,0.96217,0.00437,0,0.05472,1e-05,4e-05,0.03341,0.96562,0.00092,0
"30:1:1","Raddish","Raddish","Control",2022-02-26 11:30:35,2112670,0.29535,7e-05,0.00037,0.03251,0.96489,0.00216,0,91.285,105.688,102.095,0.0014,0.09047,0.89309,0.00652,0.00852,0,47.647,23143.7,0.257,17072.8,1.35314,41.86,0.66299,0,0,0.00071,0.05599,0.9433,0,0.14687,0.00017,0.00043,0.03309,0.95899,0.00732,0,0.05178,0,0.00025,0.03345,0.96615,0.00015,0
"30:1:1","Raddish","Raddish","Control",2022-02-27 12:11:22,2372270,0.2831,1e-05,0.00028,0.02951,0.96941,0.00079,0,98.885,106.242,104.162,0.00106,0.07515,0.91079,0.0055,0.0075,0,49.865,23990.1,0.267,18300.9,1.30798,45.142,0.66747,0,0,0.00124,0.04772,0.95104,0,0.12291,5e-05,0.00018,0.03747,0.95603,0.00627,0,0.04395,0,4e-05,0.03766,0.96214,0.00016,0
"30:1:1","Raddish","Raddish","Control",2022-02-28 10:41:42,2270740,0.26347,3e-05,0.00038,0.02564,0.97369,0.00027,0,92.214,104.737,108.071,0.00114,0.06962,0.91755,0.00462,0.00707,0,49.352,24624.6,0.274,18673.1,1.31798,32.579,0.6715,0,0,0.00042,0.04876,0.95082,0,0.08349,1e-05,8e-05,0.11071,0.88356,0.00563,0,0.03127,0,0,0.11081,0.88907,0.00012,0
"30:1:1","Raddish","Raddish","Control",2022-03-01 09:12:19,2389830,0.2767,1e-05,0.00028,0.01898,0.97994,0.00078,0,97.959,108.781,106.764,0.00069,0.06711,0.9246,0.00227,0.00534,0,49.238,24396.2,0.271,18459.5,1.32024,33.832,0.67823,0,0,0.00041,0.04583,0.95376,0,0.09865,0,7e-05,0.07302,0.92191,0.005,0,0.035,0,0,0.07309,0.92683,8e-05,0
"30:1:1","Raddish","Raddish","Control",2022-03-02 13:27:17,2432220,0.27576,1e-05,9e-05,0.01444,0.9848,0.00067,0,103.485,115.194,107.749,0.00057,0.06174,0.93147,0.00296,0.00326,0,48.722,23503.1,0.261,17651,1.33062,37.722,0.69038,0,0,0.00037,0.03904,0.96059,0,0.08929,9e-05,0.00021,0.09267,0.90416,0.00286,0,0.03111,0,0,0.09297,0.90694,8e-05,0
