"unit","genotype","g_alias","treatment","timestamp","Digital biomass [mm³]","greenness average","greenness bin0","greenness bin1","greenness bin2","greenness bin3","greenness bin4","greenness bin5","Height [mm]","Height Max [mm]","hue average [°]","hue bin0","hue bin1","hue bin2","hue bin3","hue bin4","hue bin5","Leaf angle [°]","Leaf area [mm²]","Leaf area index [mm²/mm²]","Leaf area (projected) [mm²]","Leaf inclination [mm²/mm²]","Light penetration depth [mm]","NDVI average","NDVI bin0","NDVI bin1","NDVI bin2","NDVI bin3","NDVI bin4","NDVI bin5","NPCI average","NPCI bin0","NPCI bin1","NPCI bin2","NPCI bin3","NPCI bin4","NPCI bin5","PSRI average","PSRI bin0","PSRI bin1","PSRI bin2","PSRI bin3","PSRI bin4","PSRI bin5"
"50:1:1","Raddish","Raddish","Drought",2022-02-02 15:10:23,183696,-0.04957,0,0.00258,0.67719,0.32016,7e-05,0,13.453,44.379,20.2415,0.02187,0.77486,0.02195,0.00494,0.17637,0,42.24,13655,0.152,9182.19,1.48753,9.364,0.24713,0,0,0.05473,0.92255,0.02271,0,0.28443,0,0,0.01466,0.93247,0.05287,0,0.25389,0,0,0.01466,0.97766,0.00768,0
"50:1:1","Raddish","Raddish","Drought",2022-02-04 12:38:02,177883,-0.04132,0,0.00137,0.66674,0.33188,1e-05,0,12.984,50.9,22.2295,0.01767,0.81543,0.02695,0.00466,0.1353,0,42.668,13699.7,0.152,9279.94,1.47543,9.472,0.24719,0,0,0.04609,0.92498,0.02892,0,0.30118,0,0,0.01232,0.93513,0.05255,0,0.26912,0,0,0.01232,0.97637,0.01131,0
"50:1:1","Raddish","Raddish","Drought",2022-02-07 11:39:18,444037,-0.00777,1e-05,0.00232,0.56975,0.42783,9e-05,0,37.91,53.268,28.8897,0.01952,0.73675,0.1013,0.00552,0.13692,0,43.273,11713,0.13,8032.46,1.4588,34.445,0.28802,0,0,0.03867,0.8583,0.10304,0,0.2828,0,0,0.01401,0.93721,0.04877,0,0.24235,0,1e-05,0.014,0.9712,0.01479,0
"50:1:1","Raddish","Raddish","Drought",2022-02-09 13:34:08,447799,0.0618,0,0.00041,0.41211,0.58746,2e-05,0,40.304,51.57,44.8929,0.00938,0.70475,0.2177,0.00601,0.06216,0,46.357,11110.7,0.123,8042.16,1.38184,37.425,0.3751,0,0,0.02343,0.70284,0.27373,0,0.27812,0,0,0.01706,0.94053,0.04241,0,0.20953,0,0,0.01706,0.97009,0.01285,0
"50:1:1","Raddish","Raddish","Drought",2022-02-11 13:31:40,636532,0.11567,2e-05,0.00121,0.30069,0.69795,0.00013,0,53.408,63.245,58.0565,0.01079,0.59534,0.32131,0.0063,0.06625,0,44.786,11918.3,0.132,8386.42,1.4195,50.5,0.45612,0,0,0.01436,0.54349,0.44214,0,0.2537,0,1e-05,0.01972,0.93967,0.04061,0,0.16061,0,0,0.01973,0.97549,0.00478,0
"50:1:1","Raddish","Raddish","Drought",2022-02-14 13:24:50,819173,0.21009,4e-05,0.00072,0.12276,0.87594,0.00054,0,56.864,69.638,88.2209,0.00596,0.31035,0.64255,0.00744,0.03371,0,50.98,14405.7,0.16,11182.4,1.2871,52.705,0.57777,0,0,0.00861,0.23146,0.75993,0,0.16441,0,7e-05,0.03909,0.94522,0.01562,0,0.08472,0,0,0.03916,0.95926,0.00158,0
"50:1:1","Raddish","Raddish","Drought",2022-02-16 11:14:38,1102620,0.27571,1e-05,0.00021,0.03985,0.95936,0.00058,0,70.147,74.799,101.197,0.00165,0.12129,0.86227,0.00353,0.01126,0,55.352,15718.7,0.175,12916.3,1.21555,42.089,0.6329,0,0,0.00365,0.0961,0.90025,0,0.13364,0,1e-05,0.02226,0.97167,0.00606,0,0.05557,0,0,0.02227,0.97748,0.00025,0
"50:1:1","Raddish","Raddish","Drought",2022-02-21 11:32:12,1456980,0.29979,0,0.00098,0.013,0.9859,0.00012,0,83.427,88.659,103.369,0.00018,0.06144,0.93416,0.00141,0.00282,0,51.733,17464.1,0.194,13702.6,1.27364,23.438,0.64363,0,0,0.00184,0.05017,0.948,0,0.13584,0,0,0.01045,0.987,0.00256,0,0.05152,0,0,0.01045,0.98955,0,0
"50:1:1","Raddish","Raddish","Drought",2022-02-22 08:45:31,1366110,0.28522,0,0.00082,0.01529,0.98386,3e-05,0,82.527,89.129,103.972,0.00021,0.06735,0.92788,0.0018,0.00276,0,51.242,16553.4,0.184,12906,1.28236,24.239,0.6324,0,0,0.0019,0.05476,0.94334,0,0.12092,0,0,0.01426,0.98265,0.00309,0,0.0492,0,3e-05,0.01423,0.98574,0,0
"50:1:1","Raddish","Raddish","Drought",2022-02-23 13:31:54,837379,0.19009,0,0.00123,0.12347,0.8753,0,0,67.489,75.364,80.6664,0.00165,0.39227,0.58828,0.00318,0.01462,0,41.331,12407.6,0.138,8166.58,1.51416,63.12,0.51957,0,0,0.01165,0.33096,0.65739,0,0.19003,0,0,0.00935,0.98047,0.01018,0,0.10855,0,0,0.00935,0.99025,4e-04,0
