"unit","genotype","g_alias","treatment","timestamp","Digital biomass [mm³]","greenness average","greenness bin0","greenness bin1","greenness bin2","greenness bin3","greenness bin4","greenness bin5","Height [mm]","Height Max [mm]","hue average [°]","hue bin0","hue bin1","hue bin2","hue bin3","hue bin4","hue bin5","Leaf angle [°]","Leaf area [mm²]","Leaf area index [mm²/mm²]","Leaf area (projected) [mm²]","Leaf inclination [mm²/mm²]","Light penetration depth [mm]","NDVI average","NDVI bin0","NDVI bin1","NDVI bin2","NDVI bin3","NDVI bin4","NDVI bin5","NPCI average","NPCI bin0","NPCI bin1","NPCI bin2","NPCI bin3","NPCI bin4","NPCI bin5","PSRI average","PSRI bin0","PSRI bin1","PSRI bin2","PSRI bin3","PSRI bin4","PSRI bin5"
"70:1:1","Raddish","Raddish","Control",2022-02-02 15:38:37,175641,-0.05039,1e-05,0.00218,0.67524,0.32251,7e-05,0,12.932,46.262,20.5287,0.02209,0.77953,0.02322,0.0042,0.17096,0,44.274,13581.5,0.151,9479.86,1.43243,8.042,0.25894,0,0,0.04009,0.93444,0.02548,0,0.2893,0,0,0.01208,0.93305,0.05487,0,0.25483,0,0.00017,0.01191,0.9803,0.00763,0
"70:1:1","Raddish","Raddish","Control",2022-02-09 13:52:02,545824,0.11905,3e-05,0.00155,0.26046,0.73657,0.00139,0,42.379,56.679,65.205,0.01127,0.55861,0.35163,0.01645,0.06204,0,44.79,12879.6,0.143,9072.44,1.4194,39.845,0.5017,0,0,0.00941,0.44519,0.5454,0,0.22487,0,0.00031,0.07505,0.88394,0.04071,0,0.13629,0,0,0.07536,0.9195,0.00514,0
"70:1:1","Raddish","Raddish","Control",2022-02-16 11:50:55,1192950,0.26137,1e-05,6e-05,0.02169,0.97693,0.0013,0,87.538,92.753,109.907,0.00063,0.04975,0.94028,0.004,0.00533,0,52.844,13627.7,0.151,10855.4,1.2547,34.817,0.65291,0,0,0.0025,0.04836,0.94914,0,0.0775,1e-05,5e-05,0.15905,0.83841,0.00248,0,0.03042,0,0,0.15911,0.84073,0.00016,0
"70:1:1","Raddish","Raddish","Control",2022-02-23 13:47:02,1666690,0.25998,2e-05,0.00041,0.02092,0.97731,0.00134,0,98.492,100.917,108.518,0.00089,0.06524,0.92263,0.00559,0.00565,0,49.706,16922.1,0.188,12897.4,1.31105,45.609,0.66722,0,1e-05,0.00179,0.0431,0.9551,0,0.09005,7e-05,0.00017,0.14793,0.84277,0.00906,0,0.03154,3e-05,0.00019,0.14794,0.85146,0.00032,5e-05
"70:1:1","Raddish","Raddish","Control",2022-03-02 13:12:41,1938300,0.20765,0.00012,0.00028,0.03537,0.96345,0.00078,0,102.671,118.728,112.603,0.0017,0.0911,0.88573,0.00977,0.0117,0,47.094,18878.7,0.21,13808.6,1.36521,54.845,0.67087,0,0,0.00234,0.06346,0.9342,0,0.04289,7e-05,0.00037,0.36368,0.6326,0.00328,0,0.01853,0,0,0.36412,0.63566,0.00022,0
"70:1:1","Raddish","Raddish","Control",2022-03-09 09:19:32,2288950,0.2131,0,0,0.01341,0.98648,1e-04,0,108.755,126.131,117.565,0.00046,0.04224,0.94647,0.00697,0.00385,0,46.12,21046.7,0.234,15157.4,1.38734,33.699,0.68564,0,0,0.00145,0.03485,0.9637,0,0.02026,0,1e-05,0.47959,0.52014,0.00026,0,0.00767,2e-05,2e-05,0.47957,0.52036,4e-05,0
"71:1:1","Raddish","Raddish","Control",2022-02-02 15:57:07,193060,-0.04775,0,0.00116,0.68417,0.31464,3e-05,0,13.399,40.967,20.5179,0.01811,0.7946,0.02125,0.00612,0.15992,0,42.253,14408.2,0.16,9687.89,1.48717,8.031,0.24766,0,0,0.04983,0.92847,0.0217,0,0.28724,0,0,0.01722,0.92383,0.05895,0,0.25435,0,0,0.01722,0.97676,0.00602,0
"71:1:1","Raddish","Raddish","Control",2022-02-09 14:04:16,480873,0.07812,0,0.00089,0.35006,0.64891,0.00013,0,40.467,50.843,50.8202,0.01027,0.68027,0.24018,0.0064,0.06289,0,45.208,11883.2,0.132,8428.23,1.40908,37.064,0.41167,0,0,0.01456,0.63539,0.35005,0,0.26114,0,4e-05,0.02132,0.93806,0.04058,0,0.18498,0,3e-05,0.02133,0.97304,0.0056,0
"71:1:1","Raddish","Raddish","Control",2022-02-16 11:58:11,1314230,0.28347,1e-05,6e-05,0.0163,0.97299,0.01064,0,80.931,87.941,108.018,0.00073,0.05599,0.93603,0.00299,0.00425,0,53.347,16238.9,0.18,13024.3,1.24645,31.451,0.65979,0,0,0.00107,0.04241,0.95653,0,0.09454,0,2e-05,0.0654,0.93093,0.00366,0,0.03508,0,0,0.06541,0.93427,0.00032,0
"71:1:1","Raddish","Raddish","Control",2022-02-23 13:54:40,2129720,0.31234,0,3e-05,0.00723,0.99164,0.0011,0,96.712,104.167,105.422,0.00034,0.03037,0.96575,0.00188,0.00166,0,53.106,22021.1,0.245,17579.4,1.25037,32.21,0.65561,0,0,0.00088,0.02573,0.9734,0,0.13442,0,3e-05,0.02655,0.97175,0.00167,0,0.04698,0,0,0.02658,0.97328,0.00014,0
