unit,date,species,project,treatment,water_level_at_start,water_level_at_end,weight_plant,weight_leaves
29,07.03.2022,strawberry,main,control,800,855,"33,44","19,43"
21,07.03.2022,strawberry,main,drought,210,218,"3,10","2,16"
43,07.03.2022,radish,main,control,700,780,"72,26","9,97"
53,07.03.2022,radish,main,drought,230,234,"2,35","0,62"
14,07.03.2022,strawberry,main,control,800,840,"25,52","15,50"
16,07.03.2022,strawberry,main,drought,230,236,"2,77","1,85"
60,07.03.2022,radish,main,drought,230,238,"4,14","1,29"
69,07.03.2022,radish,main,drought,230,238,"2,89","0,48"
25,07.03.2022,strawberry,main,control,850,875,"14,68","7,70"
26,07.03.2022,strawberry,main,drought,230,240,"5,54","3,89"
23,07.03.2022,strawberry,main,control,900,950,"37,38","20,32"
23,07.03.2022,strawberry,main,drought,230,236,"3,65","2,62"
55,07.03.2022,radish,main,drought,230,234,"2,38","0,88"
66,07.03.2022,radish,main,drought,230,236,"3,25","1,18"
35,07.03.2022,radish,main,control,700,800,,
40,07.03.2022,radish,main,control,800,905,,
41,07.03.2022,radish,main,control,800,865,,
34,07.03.2022,radish,main,control,800,895,,
44,07.03.2022,radish,main,control,800,910,,
98,09.03.2022,radish,side,,800,880,"74,85","10,33"
93,09.03.2022,radish,side,,800,930,"115,49","15,14"
92,09.03.2022,radish,side,,800,900,"87,54","12,15"
78,09.03.2022,radish,side,,800,920,"93,63","11,32"
86,09.03.2022,radish,side,,800,900,"90,55","12,32"
87,09.03.2022,radish,side,,800,950,"131,69","21,34"
79,09.03.2022,radish,side,,800,895,"90,04","11,96"
80,09.03.2022,radish,side,,800,910,"101,76","12,98"
96,09.03.2022,radish,side,,800,910,"102,94","15,23"
91,09.03.2022,radish,side,,800,920,"112,59","11,93"
70,09.03.2022,radish,side,,800,910,"97,56","10,61"
97,09.03.2022,radish,side,,800,925,"108,93","14,85"
99,09.03.2022,radish,side,,800,920,"108,13","15,97"
89,09.03.2022,radish,side,,800,890,"83,39","9,53"
94,16.02.2022,radish,side,,,,,"6,59"
76,16.02.2022,radish,side,,,,,"4,76"
75,16.02.2022,radish,side,,,,,"6,05"
82,16.02.2022,radish,side,,,,,"4,57"
81,23.02.2022,radish,side,,,,,"5,58"
72,23.02.2022,radish,side,,,,,"7,04"
90,23.02.2022,radish,side,,,,,"5,44"
84,23.02.2022,radish,side,,,,,"6,59"
77,02.03.2022,radish,side,,,,,"12,74"
73,02.03.2022,radish,side,,,,,"10,24"
88,02.03.2022,radish,side,,,,,"5,54"
71,02.03.2022,radish,side,,,,,"12,18"
